"case_id","party_number","victim_role","victim_sex","victim_age","victim_degree_of_injury","victim_seating_position","victim_safety_equip_1","victim_safety_equip_2","victim_ejected","local_report_number"
"9027618","2","1","M","33","7","1","M","B","0","2020-00002624"
"9049315","2","1","F","48","6","1","L","G","0","2020-00001256"
"9049348","1","1","M","60","7","1","L","G","0","2020-00002862"
"9254722","2","1","F","21","6","1","M","W","1","2021-00009149"
"91445564","2","1","M","64","6","1","L","G","0","9370-2021-00319"
"91616708","2","1","F","23","6","1","M","G","0","9370-2021-11829"
"9364072","1","2","M","8","0","4","L","C","0","2021-00046674"
"9364072","1","2","M","6","0","6","L","C","0","2021-00046674"
"91515391","2","1","M","22","6","1","M","G","0","9370-2021-10440"
"9375215","2","2","F","26","6","6","M","G","0","2021-00041504"
"9288432","2","1","F","28","7","1","L","G","0","2021-00022277"
"9288432","2","2","F","22","6","3","L","G","0","2021-00022277"
"9288432","2","2","M","2","6","4","P","G","0","2021-00022277"
"9288269","1","2","M","26","0","3","M","G","0","2021-00020917"
"9288273","2","2","F","35","0","1","M","-","0","2021-00019822"
"9294165","1","2","F","62","0","3","M","-","-","2021-00028930"
"9364066","1","3","F","22","5","-","-","-","-","2021-00047678"
"9275677","1","2","M","31","0","3","M","-","0","2021-00015414"
"9277048","2","4","M","29","6","-","P","-","-","2021-00015051"
"91665944","2","1","F","25","7","1","M","G","0","9370-2021-12655"
"9286275","2","2","M","47","7","1","M","H","0","2021-00016419"
"9245506","2","2","M","29","0","1","P","-","-","2021-00005700"
